OBJNAME,REGION,RA,DEC,DIAM,PA,BA,MAG,REASON
PGC380642,dr11-south,95.17027673871404,-58.2670941129979,0.732,145.2,0.247,17.650,SGA2020 dropped
PGC386457,dr11-south,52.130382360537226,-57.72305808701947,0.741,28.6,0.277,17.640,SGA2020 dropped
PGC388272,dr11-south,20.903792224781782,-57.580142423441345,0.738,108.8,0.203,18.630,SGA2020 dropped
PGC389980,dr11-south,9.418843821805618,-57.439552438935735,0.770,35.1,0.155,18.650,SGA2020 dropped
PGC392383,dr11-south,23.549027737363176,-57.23915261929378,0.798,132.1,0.304,17.810,SGA2020 dropped
PGC394933,dr11-south,77.28936760239205,-57.0125215949002,0.703,170.9,0.292,17.080,SGA2020 dropped
PGC397483,dr11-south,11.705892851277188,-56.75158558898985,0.761,79.8,0.238,18.870,SGA2020 dropped
PGC402617,dr11-south,310.00022376873466,-56.15778675377996,0.738,31.7,0.226,17.340,SGA2020 dropped
PGC414158,dr11-south,62.65504412416828,-54.95940980342389,0.701,161.0,0.187,18.420,SGA2020 dropped
PGC416306,dr11-south,59.59363417290037,-54.74140358848273,0.780,5.8,0.219,17.280,SGA2020 dropped
PGC420991,dr11-south,51.02266031985922,-54.2817868166617,0.718,64.6,0.226,18.190,SGA2020 dropped
PGC432079,dr11-south,313.912627136979,-53.25635754336301,0.734,109.0,0.214,18.040,SGA2020 dropped
PGC449241,dr11-south,2.2129759567952028,-52.05944323311456,0.702,45.0,0.404,18.260,SGA2020 dropped
PGC452051,dr11-south,336.23428615494595,-51.83610249522591,0.742,162.3,0.437,17.210,SGA2020 dropped
PGC458342,dr11-south,17.91982088946926,-51.24204952615296,0.763,128.0,0.193,17.920,SGA2020 dropped
PGC458663,dr11-south,339.39234413328796,-51.210883500506604,0.704,150.4,0.204,18.080,SGA2020 dropped
PGC489190,dr11-south,45.59298829288819,-48.277908343489024,0.716,37.8,0.180,18.680,SGA2020 dropped
PGC491406,dr11-south,331.47462946940044,-48.093175788175266,0.701,128.4,0.496,18.160,SGA2020 dropped
PGC491499,dr11-south,93.70481005359414,-48.08455064031973,0.734,79.2,0.215,17.590,SGA2020 dropped
PGC493021,dr11-south,34.6122161226395,-47.97208557781855,0.700,63.8,0.214,18.050,SGA2020 dropped
PGC493384,dr11-south,48.65572320427141,-47.946933351358666,0.757,126.8,0.194,18.730,SGA2020 dropped
PGC502977,dr11-south,354.5797616958009,-47.33860813441254,0.816,109.0,0.165,18.540,SGA2020 dropped
PGC505960,dr11-south,342.73798553431203,-47.145657176133675,0.741,59.4,0.189,17.820,SGA2020 dropped
PGC521131,dr11-south,50.92607894880038,-45.92599588685815,0.751,157.0,0.209,18.020,SGA2020 dropped
PGC521916,dr11-south,53.66620505213246,-45.86248115616256,0.751,26.5,0.239,17.580,SGA2020 dropped
PGC531744,dr11-south,339.979972125505,-44.972434679773826,0.730,39.4,0.156,18.300,SGA2020 dropped
PGC561949,dr11-south,304.9260297758533,-42.5543153941595,0.716,89.6,0.572,18.270,SGA2020 dropped
PGC195408,dr11-south,350.1406797060512,-41.79635997888145,0.753,111.9,0.947,16.900,SGA2020 dropped
PGC571922,dr11-south,314.92703766070326,-41.79767787810147,0.716,131.8,0.159,19.160,SGA2020 dropped
PGC574360,dr11-south,355.35111784211017,-41.56429127656095,0.724,26.4,0.435,18.210,SGA2020 dropped
PGC582936,dr11-south,72.57611577633925,-40.74452189786866,0.736,25.4,0.171,18.170,SGA2020 dropped
PGC591801,dr11-south,351.777945542205,-39.97497069779165,0.816,147.0,0.255,17.300,SGA2020 dropped
PGC601423,dr11-south,32.742123460628,-39.14070532500455,0.762,9.7,0.486,16.860,SGA2020 dropped
PGC603249,dr11-south,0.6839687556006457,-38.96896422161757,0.774,131.5,0.205,18.355,SGA2020 dropped
PGC604350,dr11-south,63.19246828655758,-38.864710867252704,0.795,45.3,0.270,17.570,SGA2020 dropped
PGC743154,dr11-south,57.32933695731986,-28.31811115629288,0.705,51.3,0.213,17.840,SGA2020 dropped
PGC756285,dr11-south,26.342752521729363,-27.350208552554545,0.771,102.0,0.213,18.595,SGA2020 dropped
PGC770068,dr11-south,10.81490893555923,-26.229089371833673,0.713,54.8,0.204,18.520,SGA2020 dropped
PGC771888,dr11-south,37.97726153643505,-26.073869163166272,0.766,48.5,0.168,17.900,SGA2020 dropped
PGC773184,dr11-south,47.650240525782124,-25.957793242468743,0.799,83.3,0.391,16.780,SGA2020 dropped
PGC773782,dr11-south,47.22149836232064,-25.90427312876635,0.702,153.5,0.171,19.100,SGA2020 dropped
PGC775212,dr11-south,86.2644944991182,-25.772523466754272,0.716,73.3,0.279,18.060,SGA2020 dropped
SDSSJ080326.62+303724.9,dr11-south,120.86090002037444,30.62361304544988,1.012,27.5,0.547,17.344,SGA2020 dropped
SDSSJ080715.02+052821.5,dr11-south,121.81259241659939,5.472686161442939,0.714,88.6,0.481,17.540,SGA2020 dropped
2MASXJ00053861+1539032,dr11-south,1.4110204414301193,15.650896822840153,0.620,84.0,0.252,18.547,SGA2020 dropped
2MASXJ01093435+1423005,dr11-south,17.393023243793035,14.383580735374526,0.638,44.4,0.221,18.810,SGA2020 dropped
2MASXJ01202338+1512496,dr11-south,20.09748978148657,15.213583507057256,0.607,7.0,0.336,18.336,SGA2020 dropped
2MASXJ01260690-0001304,dr11-south,21.528674380058995,-0.025031376146263076,0.621,160.6,0.230,18.816,SGA2020 dropped
2MASXJ01480878-0910299,dr11-south,27.03678826691724,-9.175378447204029,0.627,131.5,0.216,18.757,SGA2020 dropped
2MASXJ01575044-0921482,dr11-south,29.460234400485025,-9.363433881729602,0.610,77.7,0.416,18.936,SGA2020 dropped
2MASXJ08005689+1214373,dr11-south,120.23697088965265,12.243683775772972,0.635,134.4,0.445,17.533,SGA2020 dropped
2MASXJ08085068+2851420,dr11-south,122.21105485436709,28.861781199658516,0.609,118.4,0.260,18.879,SGA2020 dropped
2MASXJ08125097+1134276,dr11-south,123.21232096610947,11.574508884757778,0.611,124.8,0.269,18.116,SGA2020 dropped
2MASXJ08195982+0408220,dr11-south,124.9993844104075,4.139361653313301,0.645,118.0,0.292,18.190,SGA2020 dropped
2MASXJ08235311+0554385,dr11-south,125.97123005656445,5.910599280064661,0.656,89.2,0.506,17.483,SGA2020 dropped
2MASXJ08261352+1735281,dr11-south,126.55629247748985,17.591301103297678,0.614,132.0,0.251,18.725,SGA2020 dropped
2MASXJ08292549+3442282,dr11-south,127.3562042953572,34.70770059628502,0.604,135.0,0.265,18.125,SGA2020 dropped
2MASXJ08301467+1704378,dr11-south,127.56110537257841,17.07708146902402,0.624,90.0,0.466,17.603,SGA2020 dropped
2MASXJ08340654+0536117,dr11-south,128.5272586587074,5.60337284418847,0.657,109.0,0.443,17.741,SGA2020 dropped
2MASXJ08380153+1134301,dr11-south,129.50633487973968,11.575105669618878,0.639,140.9,0.376,18.347,SGA2020 dropped
2MASXJ08393505+1749392,dr11-south,129.89612435042002,17.827476684205227,0.621,98.2,0.312,18.123,SGA2020 dropped
2MASXJ08393793+2744385,dr11-south,129.90804844182662,27.744203926328133,0.607,153.7,0.370,18.346,SGA2020 dropped
2MASXJ08395662+3147082,dr11-south,129.98604272500938,31.78578872262704,0.611,38.9,0.352,18.139,SGA2020 dropped
2MASXJ08402124+1815550,dr11-south,130.08862428527496,18.26524723304515,0.623,99.1,0.290,17.991,SGA2020 dropped
2MASXJ08411001+1518264,dr11-south,130.29160016472218,15.307222507178247,0.655,78.1,0.325,18.791,SGA2020 dropped
2MASXJ08523680+0358153,dr11-south,133.15317646478707,3.9707798415180457,0.642,64.2,0.265,18.467,SGA2020 dropped
2MASXJ08541497+0859112,dr11-south,133.56228323745125,8.986352308774597,0.602,22.7,0.380,17.668,SGA2020 dropped
2MASXJ08550413+3138363,dr11-south,133.7672280579409,31.643233871545423,0.602,125.8,0.237,18.990,SGA2020 dropped
2MASXJ08592194+1822023,dr11-south,134.84156695027818,18.367293984741114,0.630,144.3,0.278,18.509,SGA2020 dropped
2MASXJ09010977+1602117,dr11-south,135.29072889857844,16.03652859087705,0.622,93.1,0.260,18.497,SGA2020 dropped
2MASXJ09021047+1856004,dr11-south,135.54351309220252,18.933525902604003,0.628,89.3,0.240,18.747,SGA2020 dropped
2MASXJ09081324+3229595,dr11-south,137.05528376822147,32.49986577834849,0.648,5.7,0.603,17.188,SGA2020 dropped
2MASXJ09081959+0355459,dr11-south,137.08154117093704,3.9294427773152996,0.656,137.2,0.284,18.591,SGA2020 dropped
2MASXJ09090930+0523493,dr11-south,137.28866591804206,5.39707708456288,0.630,48.1,0.286,18.471,SGA2020 dropped
2MASXJ09205494+1733402,dr11-south,140.22897554631146,17.56110016688036,0.652,77.8,0.279,18.233,SGA2020 dropped
2MASXJ09220839+0836076,dr11-south,140.5349760845081,8.602136429665933,0.608,54.7,0.274,18.757,SGA2020 dropped
2MASXJ09231954+0853045,dr11-south,140.83131636113555,8.8847586301868,0.615,166.9,0.328,17.888,SGA2020 dropped
2MASXJ09272540+1134196,dr11-south,141.8556967161793,11.572102712454784,0.605,105.6,0.482,17.990,SGA2020 dropped
2MASXJ09283903+0623123,dr11-south,142.16239561105237,6.386959513076955,0.644,105.8,0.286,18.413,SGA2020 dropped
2MASXJ09315577+0949185,dr11-south,142.98228881579905,9.821963394392279,0.601,102.6,0.376,17.200,SGA2020 dropped
2MASXJ09415058+1044538,dr11-south,145.4607537567489,10.748303455074367,0.657,168.2,0.981,16.694,SGA2020 dropped
2MASXJ09474045+1801249,dr11-south,146.91874578000915,18.02359569971432,0.602,149.8,0.284,18.597,SGA2020 dropped
2MASXJ09491485+1828369,dr11-south,147.31192976108682,18.47677009115447,0.605,117.7,0.365,18.580,SGA2020 dropped
2MASXJ09531353+0931437,dr11-south,148.30632600600043,9.528808850164198,0.625,167.3,0.297,17.715,SGA2020 dropped
2MASXJ09542324+0746504,dr11-south,148.59702563197462,7.7804905081350535,0.637,134.1,0.285,17.990,SGA2020 dropped
2MASXJ10022144+0948012,dr11-south,150.58938393081255,9.80040994746806,0.612,64.8,0.369,18.103,SGA2020 dropped
2MASXJ10040083+0723555,dr11-south,151.00322862727933,7.398995556714274,0.617,119.1,0.284,18.509,SGA2020 dropped
2MASXJ10180266+2023104,dr11-south,154.511001792796,20.38601238475582,0.624,175.4,0.265,18.911,SGA2020 dropped
2MASXJ10205677+2336501,dr11-south,155.23662907770353,23.613956323772673,0.627,139.4,0.195,19.041,SGA2020 dropped
2MASXJ10253969+1022185,dr11-south,156.4155321641406,10.371877026909406,0.625,160.7,0.361,18.232,SGA2020 dropped
2MASXJ10270744+0255089,dr11-south,156.78103505510953,2.919045092646991,0.602,82.1,0.231,18.899,SGA2020 dropped
2MASXJ10304682+2934278,dr11-south,157.69495694611774,29.57435933826819,0.600,17.1,0.313,18.133,SGA2020 dropped
2MASXJ10321227+0338392,dr11-south,158.0511596398409,3.6440882787836424,0.622,115.8,0.319,17.954,SGA2020 dropped
2MASXJ10420658+0419241,dr11-south,160.52750436652582,4.323287122466561,0.605,115.2,0.278,18.461,SGA2020 dropped
2MASXJ10422952+1746209,dr11-south,160.62296004363506,17.77255862461963,0.603,31.9,0.240,18.297,SGA2020 dropped
2MASXJ10480231+1227396,dr11-south,162.00950663270228,12.461102811508223,0.617,130.4,0.264,18.298,SGA2020 dropped
2MASXJ10504516+1641492,dr11-south,162.688180302225,16.697011044388237,0.639,97.1,0.286,18.046,SGA2020 dropped
2MASXJ10541630+1951001,dr11-south,163.56806850555773,19.850146959940936,0.609,83.9,0.358,18.265,SGA2020 dropped
2MASXJ11024587+2105273,dr11-south,165.69111483545927,21.09083459484071,0.612,93.0,0.410,18.104,SGA2020 dropped
2MASXJ11034687+2356535,dr11-south,165.94523303847618,23.948259679246,0.654,122.0,0.290,18.352,SGA2020 dropped
2MASXJ11041451+0332468,dr11-south,166.06034648003896,3.546216265773092,0.606,164.6,0.283,17.500,SGA2020 dropped
