| NAME              | RA_HMS     | DEC_DMS   | DIAM  | BA   |
| dw1241-1131       | 12:41:02.8 | -11:31:44 |  0.30 | 1.00 |
| SMDG1241+35       | 12:41:11.0 | +35:11:46 |  0.73 | 0.92 |
| Sombrero DwB      | 12:41:12.0 | -11:53:33 |  0.44 | 0.90 |
| KKSG34            | 12:41:18.9 | -11:55:39 |  0.69 | 0.88 |
| Dw1241-0427       | 12:41:22.3 | -04:27:50 |  0.83 | 0.90 |
| dw1241-32         | 12:41:27.0 | -42:53:45 |  0.38 | 0.69 |
| NGC4618           | 12:41:32.8 | +41:09:03 |  4.17 | 0.76 |
| dw1241-1055       | 12:41:38.0 | -10:55:34 |  0.57 | 0.90 |
| AGC224291         | 12:41:39.2 | +01:50:17 |  0.50 | 0.71 |
| LV J1241+3251     | 12:41:47.3 | +32:51:28 |  0.79 | 0.57 |
| dw1241-1234       | 12:41:48.0 | -12:34:12 |  0.30 | 0.88 |
| NGC4625           | 12:41:52.7 | +41:16:26 |  1.66 | 0.78 |
| NGC4627           | 12:41:59.7 | +32:34:25 |  1.82 | 0.69 |
| NGC 4631dw2       | 12:42:06.8 | +32:37:15 |  0.90 | 0.90 |
| NGC4631           | 12:42:08.0 | +32:32:29 | 16.60 | 0.17 |
| N4625A            | 12:42:11.0 | +41:15:10 |  0.45 | 0.86 |
| IC3687            | 12:42:15.1 | +38:30:07 |  5.13 | 0.88 |
| KDG187            | 12:42:17.8 | +03:28:08 |  1.35 | 0.93 |
| HSC-10            | 12:42:31.4 | +31:58:09 |  0.30 | 0.71 |
| dw1242-1116       | 12:42:44.0 | -11:16:26 |  0.39 | 0.75 |
| dw1242-1309       | 12:42:45.0 | -13:09:58 |  0.36 | 0.73 |
| PGC042730         | 12:42:48.9 | -12:23:27 |  2.10 | 0.67 |
| NGC 4631dw3       | 12:42:52.5 | +32:27:35 |  0.60 | 0.85 |
| dw1242-1107       | 12:42:56.0 | -11:07:41 |  0.57 | 0.76 |
| dw1242-1010       | 12:42:57.0 | -10:10:08 |  0.36 | 0.80 |
| PGC42772          | 12:43:07.1 | +32:29:27 |  0.46 | 0.57 |
| dw1243-42b        | 12:43:11.0 | -42:26:37 |  0.25 | 0.63 |
| dw1243-42         | 12:43:13.0 | -42:27:48 |  0.53 | 0.76 |
| FASHI1243+32      | 12:43:23.0 | +32:43:23 |  -99. | -99. |
| BTS151            | 12:43:24.6 | +32:28:56 |  0.78 | 0.61 |
| HSC-5             | 12:43:44.6 | +32:32:04 |  0.35 | 0.65 |
| KDG192            | 12:43:45.0 | +53:57:32 |  1.07 | 0.63 |
| LV J1243+4127     | 12:43:55.7 | +41:27:25 |  1.38 | 0.43 |
| KK160             | 12:43:57.4 | +43:39:41 |  0.59 | 0.75 |
| NGC4656           | 12:43:57.6 | +32:10:13 | 12.88 | 0.15 |
| dw1244-1043       | 12:44:15.0 | -10:43:19 |  0.71 | 0.82 |
| NGC4656UV         | 12:44:15.7 | +32:17:00 |  5.95 | 0.64 |
| dw1244-1246       | 12:44:17.0 | -12:46:23 |  0.31 | 0.86 |
| [KK2000] 51       | 12:44:21.5 | -42:56:23 |  0.55 | 0.44 |
| DDO143            | 12:44:25.1 | +34:23:11 |  2.24 | 0.36 |
| dw1244-1135       | 12:44:30.0 | -11:35:06 |  0.25 | 0.42 |
| UGCA294           | 12:44:38.1 | +28:28:21 |  1.10 | 0.57 |
| ESO381-018        | 12:44:42.7 | -35:58:00 |  0.79 | 0.58 |
| IC3718            | 12:44:46.0 | +12:21:05 |  2.57 | 0.30 |
| dw1244-1238       | 12:44:54.0 | -12:38:10 |  0.43 | 0.79 |
| dw1245-1041       | 12:45:07.0 | -10:41:56 |  0.28 | 0.74 |
| UGC07929          | 12:45:20.9 | +21:25:37 |  1.00 | 0.48 |
| [KK98]162         | 12:45:26.8 | +18:18:01 |  1.12 | 0.64 |
| Dw1245+6158       | 12:45:49.0 | +61:58:08 |  0.81 | 0.49 |
| SMDG1245+01       | 12:45:52.3 | +01:54:22 |  0.85 | 0.56 |
| ESO381-020        | 12:46:00.4 | -33:50:17 |  2.82 | 0.40 |
| AGC227970         | 12:46:01.4 | +04:22:52 |  0.68 | 0.33 |
| VCC2033           | 12:46:04.5 | +08:28:35 |  0.55 | 0.91 |
| dw1246-1240       | 12:46:14.0 | -12:40:44 |  0.36 | 0.71 |
| VCC2037           | 12:46:15.3 | +10:12:12 |  1.20 | 0.46 |
| dw1246-1108       | 12:46:43.0 | -11:08:17 |  0.21 | 0.86 |
| UGCA298           | 12:46:55.4 | +26:33:51 |  0.89 | 0.78 |
| UGC07950          | 12:46:56.4 | +51:36:47 |  1.38 | 0.74 |
| dw1246-1142       | 12:46:58.0 | -11:42:25 |  0.41 | 0.58 |
| DDO147            | 12:46:59.8 | +36:28:35 |  1.45 | 0.79 |
| FGC1497           | 12:47:00.6 | +32:39:05 |  1.07 | 0.17 |
| Dw1247-0824       | 12:47:25.0 | -08:24:29 |  1.71 | 0.66 |
| HIPASS J1247-77   | 12:47:32.6 | -77:35:01 |  0.66 | 0.48 |
| NGC4688           | 12:47:46.5 | +04:20:10 |  3.53 | 0.87 |
| KK164             | 12:47:59.6 | +04:26:00 |  1.04 | 0.58 |
| KKSG37            | 12:48:01.0 | -12:39:18 |  0.68 | 0.70 |
| NGC4707           | 12:48:22.9 | +51:09:53 |  2.09 | 0.80 |
| Dw1248-0915       | 12:48:38.4 | -09:15:22 |  0.76 | 0.77 |
| DDO148            | 12:48:43.1 | -05:15:14 |  2.34 | 0.74 |
| KK165             | 12:48:52.7 | +31:58:13 |  0.72 | 0.93 |
| NGC4700           | 12:49:07.6 | -11:24:41 |  4.07 | 0.21 |
| KK166             | 12:49:13.3 | +35:36:45 |  0.60 | 0.59 |
| MAPS1249+44       | 12:49:31.0 | +44:21:33 |  0.47 | 0.53 |
| LV J1249+2155     | 12:49:36.9 | +21:55:05 |  0.43 | 0.80 |
| UGC07983          | 12:49:47.0 | +03:50:32 |  0.81 | 0.68 |
| EVCC2232          | 12:50:04.7 | -00:13:57 |  0.61 | 0.82 |
| FASHI1250+41      | 12:50:24.2 | +41:31:12 |  -99. | -99. |
| SMDG1250+07       | 12:50:26.9 | +07:44:35 |  1.33 | 0.54 |
| UGC07990          | 12:50:27.2 | +28:21:10 |  1.17 | 0.52 |
| NGC4736           | 12:50:53.5 | +41:07:10 | 15.14 | 0.81 |
| M94-Dw2           | 12:51:04.4 | +41:38:10 |  0.46 | 0.52 |
| FASHI1251+57      | 12:51:06.0 | +57:22:44 |  0.71 | 0.59 |
| BTS157            | 12:51:13.3 | +47:04:15 |  0.52 | 0.82 |
| FASHI1251+41      | 12:51:15.4 | +41:35:38 |  -99. | -99. |
| dw1251+2324       | 12:51:28.3 | +23:24:03 |  0.37 | 0.80 |
| FASHI1251+32      | 12:51:38.9 | +32:10:52 |  0.67 | 0.90 |
| KK167             | 12:51:44.4 | +26:06:38 |  0.85 | 0.72 |
| IC3840            | 12:51:46.1 | +21:44:07 |  0.95 | 0.48 |
| M94-HIn9          | 12:51:52.0 | +40:17:29 |  -99. | -99. |
| dw1251-40         | 12:51:56.0 | -40:19:53 |  0.22 | 0.88 |
| dw1252-40         | 12:52:01.0 | -40:21:55 |  0.56 | 0.77 |
| Dw1252-0904       | 12:52:03.4 | -09:04:26 |  0.34 | 0.70 |
| dw1252+2215       | 12:52:05.8 | +22:15:54 |  0.26 | 0.79 |
| dw1252-43         | 12:52:25.0 | -43:05:58 |  0.27 | 0.83 |
| NGC4765           | 12:53:14.4 | +04:27:47 |  1.86 | 0.73 |
| PGC3272767        | 12:53:16.8 | -05:18:13 |  0.15 | 0.88 |
| KKSG38            | 12:53:31.6 | -05:55:40 |  0.87 | 0.46 |
| KKSG39            | 12:53:41.9 | -06:05:02 |  0.80 | 0.75 |
| DDO153            | 12:53:57.5 | -12:06:31 |  2.54 | 0.31 |
| DDO154            | 12:54:05.2 | +27:08:55 |  2.14 | 0.73 |
| UGC08030          | 12:54:29.4 | +26:18:18 |  1.23 | 0.56 |
| PGC963198         | 12:54:45.9 | -11:39:40 |  1.65 | 0.50 |
| ESO443-009        | 12:54:53.6 | -28:20:27 |  0.71 | 0.75 |
| dw1255+40         | 12:55:02.0 | +40:35:24 |  0.72 | 0.95 |
| KDG215            | 12:55:40.5 | +19:12:33 |  1.17 | 0.54 |
| ESO219-010        | 12:56:09.6 | -50:08:38 |  0.68 | 0.79 |
| AGC221126         | 12:56:18.0 | +34:39:25 |  1.44 | 0.85 |
| KDG216            | 12:56:25.0 | +15:05:09 |  1.12 | 0.86 |
| SMDG1256-00       | 12:56:35.8 | -00:31:44 |  0.74 | 0.67 |
| UGC08061          | 12:56:43.4 | +11:55:52 |  0.83 | 0.80 |
| NGC4826           | 12:56:44.2 | +21:41:05 | 13.80 | 0.52 |
| CVnII             | 12:57:10.0 | +34:19:15 |  2.50 | 0.61 |
| dw1257-41         | 12:57:45.0 | -41:22:52 |  0.80 | 0.74 |
| MCG-02-33-075     | 12:58:28.3 | -10:34:37 |  2.96 | 0.46 |
| dw1258-37         | 12:58:29.0 | -37:07:21 |  0.73 | 0.90 |
| GR8               | 12:58:40.4 | +14:13:03 |  1.66 | 0.91 |
| HIPASS J1258-04   | 12:58:49.6 | -04:53:19 |  0.85 | 0.42 |
| dw1258+2329       | 12:58:51.4 | +23:29:24 |  0.26 | 0.85 |
| [KK98]175         | 12:59:01.0 | +35:28:48 |  0.77 | 0.72 |
| NGC4861           | 12:59:02.0 | +34:51:37 |  3.63 | 0.38 |
| Dw1259-1735       | 12:59:40.3 | -17:35:46 |  0.96 | 0.53 |
| KK176             | 12:59:56.3 | -19:24:47 |  1.48 | 0.58 |
| UGC08105          | 12:59:58.1 | +02:02:58 |  1.43 | 0.68 |
| PGC1059300        | 13:00:00.3 | -04:21:38 |  0.90 | 0.61 |
| dw1300+1843       | 13:00:31.0 | +18:43:01 |  0.40 | 0.90 |
| dw1301-30         | 13:01:28.0 | -30:06:43 |  0.49 | 0.75 |
| UGCA319           | 13:02:14.4 | -17:14:15 |  1.26 | 0.69 |
| KK177             | 13:02:41.9 | +21:59:51 |  0.78 | 0.91 |
| dw1302-40         | 13:02:49.0 | -40:08:35 |  0.69 | 0.95 |
| dw1303+42         | 13:03:14.0 | +42:22:17 |  0.38 | 0.63 |
| DDO161            | 13:03:16.8 | -17:25:23 |  7.94 | 0.13 |
| ESO269-037        | 13:03:33.6 | -46:35:03 |  1.20 | 0.75 |
| KK180             | 13:04:29.9 | +17:45:32 |  0.89 | 0.69 |
| KK182             | 13:05:02.9 | -40:04:58 |  0.91 | 0.60 |
| PGC886203         | 13:05:03.8 | -17:15:25 |  0.60 | 0.45 |
| NGC4945           | 13:05:26.1 | -49:28:16 | 28.18 | 0.19 |
| dw1305+41         | 13:05:29.0 | +41:53:24 |  0.41 | 0.88 |
| KDG218            | 13:05:44.0 | -07:45:20 |  1.82 | 0.71 |
| IC4182            | 13:05:49.3 | +37:36:21 |  6.61 | 0.92 |
| dw1305+38         | 13:05:58.0 | +38:05:43 |  0.32 | 0.70 |
| DDO165            | 13:06:26.8 | +67:42:15 |  4.07 | 0.54 |
| dw1306-29         | 13:06:48.0 | -29:53:30 |  0.36 | 0.52 |
| MCG -03-34-002    | 13:07:56.6 | -16:41:21 |  1.23 | 0.63 |
| UGC08215          | 13:08:03.6 | +46:49:41 |  0.85 | 0.70 |
| UGC08245          | 13:08:34.2 | +78:56:13 |  2.14 | 0.41 |
| dw1308+40         | 13:08:46.0 | +40:54:04 |  0.37 | 0.59 |
| MCG -04-31-038    | 13:09:36.6 | -27:08:26 |  1.02 | 0.67 |
| ESO269-058        | 13:10:32.9 | -46:59:27 |  4.68 | 0.60 |
| dw1310+4153       | 13:10:41.8 | +41:53:28 |  0.30 | 0.64 |
| [KK2000] 53       | 13:11:14.2 | -38:54:22 |  0.79 | 0.87 |
| Dw1311+4051       | 13:11:41.3 | +40:51:47 |  0.37 | 0.61 |
| Dw1311+4317       | 13:11:45.6 | +43:17:06 |  0.75 | 0.84 |
| dw1312-4244       | 13:12:10.9 | -42:44:44 |  0.25 | 0.54 |
| NGC5023           | 13:12:11.9 | +44:02:19 |  7.24 | 0.11 |
| NGC5055dwTBG1     | 13:12:18.9 | +41:58:37 |  0.52 | 0.78 |
| dw1312-4218       | 13:12:22.5 | -42:18:42 |  0.21 | 0.95 |
| dw1313-4246       | 13:12:42.9 | -42:46:51 |  0.18 | 0.72 |
| KK189             | 13:12:45.0 | -41:49:55 |  0.60 | 0.67 |
| CGCG 217-018      | 13:12:51.8 | +40:32:35 |  1.00 | 0.67 |
| KKH82             | 13:12:58.7 | +41:47:12 |  1.15 | 0.79 |
| dw1313+46         | 13:13:02.0 | +46:36:08 |  0.26 | 0.83 |
| ESO269-066        | 13:13:09.2 | -44:53:24 |  2.14 | 0.86 |
| NGC5011C          | 13:13:11.9 | -43:15:56 |  1.17 | 0.66 |
| FASHI1313+31      | 13:13:17.6 | +31:24:54 |  0.78 | 0.95 |
| DDO167            | 13:13:22.8 | +46:19:11 |  1.10 | 0.55 |
| dw1313-4211       | 13:13:34.3 | -42:11:08 |  0.40 | 0.85 |
| dw1313-4214       | 13:13:36.4 | -42:14:08 |  0.32 | 0.58 |
| KK191             | 13:13:39.7 | +42:02:39 |  0.42 | 0.96 |
| LV J1313+1003     | 13:13:47.3 | +10:03:11 |  1.14 | 0.59 |
| UGC08313          | 13:13:53.9 | +42:12:31 |  2.11 | 0.31 |
| dw1314-28         | 13:14:02.0 | -28:12:12 |  0.60 | 0.83 |
| NGC5055dwTBG5     | 13:14:22.9 | +41:34:09 |  0.42 | 0.80 |
| DDO168            | 13:14:28.6 | +45:55:10 |  3.89 | 0.39 |
| Dw1315+4304       | 13:15:00.5 | +43:04:55 |  1.46 | 0.94 |
| dw1315-4232       | 13:15:03.0 | -42:32:18 |  0.28 | 0.80 |
| dw1315+4123       | 13:15:15.8 | +41:23:49 |  0.25 | 0.75 |
| DDO169NW          | 13:15:19.2 | +47:32:18 |  0.78 | 0.71 |
| DDO169            | 13:15:30.7 | +47:29:47 |  2.95 | 0.33 |
| KK193             | 13:15:31.2 | +41:30:05 |  0.56 | 0.91 |
| dw1315-4309       | 13:15:34.0 | -43:09:27 |  0.20 | 0.90 |
| NGC5055           | 13:15:49.3 | +42:01:45 | 16.22 | 0.57 |
| dw1316-4224       | 13:16:42.3 | -42:24:05 |  0.48 | 0.95 |
| CGCG 189-050      | 13:17:04.9 | +37:57:09 |  0.85 | 0.77 |
| KK194             | 13:17:19.5 | +44:23:48 |  0.63 | 0.58 |
| AGC239141         | 13:17:40.8 | +35:27:59 |  0.32 | 0.58 |
| CenA-MM-Dw11      | 13:17:49.2 | -42:55:37 |  0.66 | 0.73 |
| dw1318-21         | 13:18:04.0 | -21:53:06 |  0.41 | 0.74 |
| dw1318-4233       | 13:18:05.6 | -42:33:37 |  0.56 | 0.90 |
| Fluffy            | 13:18:10.9 | -44:09:26 |  0.07 | 0.90 |
| NGC5068           | 13:18:55.3 | -21:02:21 | 10.00 | 0.88 |
| CenA-MM-Dw5       | 13:19:52.4 | -41:59:37 |  0.42 | 0.45 |
| AGC732602         | 13:21:04.8 | +24:08:36 |  0.62 | 0.43 |
| dw1321-27         | 13:21:08.0 | -27:44:56 |  0.74 | 0.80 |
| KK195             | 13:21:08.2 | -31:31:47 |  0.71 | 0.46 |
| dw1321+4226       | 13:21:29.0 | +42:25:59 |  0.24 | 0.63 |
| [KK2000] 54       | 13:21:32.4 | -31:53:11 |  0.66 | 0.68 |
| KK196             | 13:21:47.1 | -45:03:48 |  0.87 | 0.77 |
| NGC5102           | 13:21:57.8 | -36:37:47 | 13.49 | 0.32 |
| KK197             | 13:22:01.8 | -42:32:08 |  1.58 | 0.78 |
| dw1322-27         | 13:22:06.0 | -27:34:45 |  0.61 | 0.87 |
| [KK2000] 55       | 13:22:12.4 | -42:43:51 |  0.79 | 0.88 |
| dw1322-39         | 13:22:32.0 | -39:54:20 |  0.69 | 0.76 |
| Hedgehog          | 13:22:46.9 | -20:53:56 |  0.85 | 0.78 |
| KK198             | 13:22:56.1 | -33:34:22 |  0.50 | 0.83 |
| PGC725719         | 13:22:56.8 | -29:44:19 |  0.81 | 0.21 |
| CenA-MM-Dw4       | 13:23:02.6 | -41:47:10 |  0.62 | 0.75 |
| KV19-212          | 13:23:09.8 | -43:52:28 |  0.09 | 0.98 |
| AM1320-230        | 13:23:29.9 | -23:23:35 |  0.69 | 0.57 |
| dw1323-40b        | 13:23:55.0 | -40:50:09 |  0.57 | 0.77 |
| CenA-MM-Dw10      | 13:24:32.9 | -44:44:07 |  0.50 | 0.80 |
| KK200             | 13:24:36.0 | -30:58:20 |  1.10 | 0.62 |
| dw1323-40         | 13:24:53.0 | -40:45:41 |  0.51 | 0.89 |
| KV19-271          | 13:25:11.1 | -43:30:33 |  0.06 | 0.95 |
| NGC5128           | 13:25:28.9 | -43:01:00 | 34.67 | 0.78 |
| dw1325-33         | 13:25:41.0 | -33:00:25 |  0.62 | 0.50 |
| UCD320            | 13:25:52.7 | -42:54:13 |  0.09 | 0.65 |
| UCD330            | 13:25:54.3 | -41:00:35 |  0.07 | 0.95 |
| CenA-MM-Dw6       | 13:25:57.6 | -41:05:39 |  0.58 | 0.50 |
| dw1326-37         | 13:26:22.0 | -37:23:08 |  0.34 | 0.92 |
| CenA-MM-Dw7       | 13:26:28.7 | -43:33:24 |  0.74 | 0.72 |
| KV19-329          | 13:26:41.3 | -42:42:14 |  0.04 | 0.90 |
| dw1326-35         | 13:26:44.0 | -35:05:00 |  0.34 | 0.38 |
| IC4247            | 13:26:44.4 | -30:21:45 |  1.66 | 0.38 |
| dw1327+51         | 13:27:01.0 | +51:41:08 |  0.21 | 0.68 |
| KK203             | 13:27:28.1 | -45:21:09 |  0.50 | 0.99 |
| ESO324-024        | 13:27:37.4 | -41:28:50 |  3.31 | 0.72 |
| PGC2229803        | 13:27:53.1 | +43:48:55 |  0.67 | 0.65 |
| CVnI              | 13:28:03.5 | +33:33:21 | 14.30 | 0.61 |
| dw1328+4703       | 13:28:24.7 | +47:03:54 |  0.22 | 0.62 |
| LV J1328+4937     | 13:28:31.2 | +49:37:38 |  0.45 | 0.55 |
| FASHI1328+33      | 13:28:33.1 | +33:08:49 |  0.56 | 0.57 |
| dw1329-45         | 13:29:10.0 | -45:10:31 |  0.33 | 0.56 |
| PGC170257         | 13:29:21.0 | -21:10:45 |  0.93 | 0.75 |
| NGC5204           | 13:29:36.4 | +58:25:04 |  5.13 | 0.60 |
| KV19-442          | 13:29:43.8 | -42:23:29 |  0.08 | 0.95 |
| NGC5194           | 13:29:52.7 | +47:14:04 | 15.85 | 0.85 |
| CenA-MM-Dw2       | 13:29:57.3 | -41:52:23 |  0.68 | 0.90 |
| NGC5195           | 13:29:58.7 | +47:16:05 |  6.92 | 0.92 |
| dw1330-34         | 13:30:02.0 | -34:00:14 |  0.36 | 0.63 |
| dw1330-33         | 13:30:04.0 | -33:50:06 |  0.21 | 0.40 |
| FASHI1330+32      | 13:30:08.2 | +32:17:13 |  0.45 | 0.49 |
| CenA-MM-Dw1       | 13:30:14.3 | -41:53:36 |  2.60 | 0.81 |
| CenA-MM-Dw3       | 13:30:21.5 | -42:11:33 |  4.40 | 0.71 |
| DSC_M51           | 13:30:33.6 | +47:31:34 |  0.45 | 0.54 |
| dw1330+4731       | 13:30:38.8 | +47:31:34 |  0.25 | 0.88 |
| dw1330-38         | 13:30:41.0 | -38:10:03 |  0.67 | 0.90 |
| UGC08508          | 13:30:44.4 | +54:54:36 |  2.14 | 0.59 |
| dw1331-40         | 13:31:26.0 | -40:15:47 |  0.35 | 0.95 |
| AGC238890         | 13:32:30.3 | +25:07:25 |  0.83 | 0.63 |
| UGCA361           | 13:32:36.2 | +49:49:49 |  0.98 | 0.59 |
| CenA-MM-Dw9       | 13:33:01.5 | -42:31:48 |  0.78 | 0.87 |
| [KK98]206         | 13:33:22.8 | +49:06:07 |  1.03 | 0.66 |
| KK207             | 13:33:25.7 | +56:30:00 |  0.97 | 0.70 |
| CenA-MM-Dw8       | 13:33:34.1 | -41:36:28 |  1.20 | 0.74 |
| NGC5206           | 13:33:43.9 | -48:09:04 |  3.72 | 0.86 |
| NGC5229           | 13:34:02.9 | +47:54:55 |  3.39 | 0.13 |
| FASHI1334+62      | 13:34:15.6 | +62:57:36 |  0.88 | 0.38 |
| NGC5238           | 13:34:42.7 | +51:36:50 |  2.09 | 0.82 |
| ESO270-017        | 13:34:47.3 | -45:32:51 | 15.85 | 0.12 |
| dw1335-29         | 13:35:46.0 | -29:42:24 |  0.67 | 0.56 |
| FASHI1335+54      | 13:35:55.5 | +54:44:31 |  0.71 | 0.68 |
| UGCA365           | 13:36:30.8 | -29:14:11 |  1.58 | 0.42 |
| KK208             | 13:36:35.5 | -29:34:15 |  5.89 | 0.42 |
| dw1336-44         | 13:36:44.0 | -44:26:50 |  0.27 | 0.61 |
| MCG +08-25-028    | 13:36:44.8 | +44:35:57 |  0.95 | 0.52 |
| NGC5236           | 13:37:00.1 | -29:52:04 | 18.62 | 0.89 |
| HIDEEP J1337-33   | 13:37:00.6 | -33:21:47 |  0.20 | 0.95 |
| ESO444-084        | 13:37:20.2 | -28:02:46 |  1.35 | 0.77 |
| HIPASS J1337-39   | 13:37:25.1 | -39:53:52 |  0.52 | 0.83 |
| NGC5237           | 13:37:38.9 | -42:50:51 |  2.00 | 0.84 |
| dw1337-41         | 13:37:55.0 | -41:54:11 |  0.61 | 0.75 |
| ESO577-016        | 13:38:36.3 | -20:29:01 |  1.20 | 0.65 |
| dw1338+50         | 13:38:49.0 | +50:01:10 |  0.38 | 0.90 |
| UGC08638          | 13:39:19.4 | +24:46:33 |  1.66 | 0.67 |
| FASHI1339+39      | 13:39:44.8 | +39:08:06 |  0.62 | 0.62 |
| Dw1339+39         | 13:39:45.1 | +39:08:09 |  0.60 | 0.66 |
| UGC08647          | 13:39:48.0 | +31:17:25 |  1.21 | 0.26 |
| DDO181            | 13:39:53.8 | +40:44:21 |  2.40 | 0.57 |
| NGC5253           | 13:39:55.8 | -31:38:24 |  6.92 | 0.38 |
| IC4316            | 13:40:18.1 | -28:53:40 |  2.04 | 0.63 |
| dw1340-30         | 13:40:19.0 | -30:21:35 |  0.56 | 0.76 |
| dw1340+45         | 13:40:37.0 | +45:41:54 |  0.22 | 0.42 |
| dw1341-33         | 13:41:13.0 | -33:49:30 |  1.18 | 0.90 |
| NGC5264           | 13:41:37.0 | -29:54:50 |  3.47 | 0.60 |
| dw1341-43         | 13:41:37.0 | -43:51:17 |  0.67 | 0.88 |
| [KK2000] 57       | 13:41:38.1 | -42:34:55 |  0.55 | 0.87 |
| Dw1341+4204       | 13:41:58.8 | +42:04:06 |  0.42 | 0.77 |
| KK211             | 13:42:05.6 | -45:12:18 |  1.20 | 0.87 |
| LV J1342+4840     | 13:42:20.1 | +48:40:57 |  0.78 | 0.69 |
| DDO182            | 13:42:32.6 | +39:39:30 |  1.32 | 0.74 |
| dw1342-43         | 13:42:44.0 | -43:15:19 |  0.52 | 0.93 |
| dw1343+58         | 13:43:07.0 | +58:13:40 |  0.95 | 0.77 |
| KK213             | 13:43:35.8 | -43:46:09 |  0.48 | 0.50 |
| dw1343-34         | 13:43:49.0 | -34:56:07 |  0.63 | 0.85 |
| ESO325-011        | 13:45:00.8 | -41:51:32 |  3.16 | 0.48 |
| SMDG1345+33       | 13:45:11.0 | +33:11:31 |  0.43 | 0.86 |
| [KK2000] 58       | 13:46:00.8 | -36:19:44 |  0.93 | 0.70 |
| KK217             | 13:46:17.2 | -45:41:05 |  0.65 | 0.83 |
| KK218             | 13:46:39.5 | -29:58:45 |  0.81 | 0.45 |
| KK220             | 13:47:36.5 | +33:12:22 |  1.11 | 0.93 |
| [KK2000] 59       | 13:47:57.7 | -53:21:04 |  2.45 | 0.43 |
| Dw1348+6004       | 13:48:05.7 | +60:04:01 |  0.83 | 0.75 |
| CenN              | 13:48:09.2 | -47:33:54 |  0.76 | 0.78 |
| HIPASS J1348-37   | 13:48:33.9 | -37:58:03 |  0.47 | 0.80 |
| KK221             | 13:48:46.4 | -46:59:49 |  1.51 | 0.67 |
| SMDG1349+04       | 13:49:16.8 | +04:49:05 |  0.72 | 0.73 |
| ESO383-087        | 13:49:18.8 | -36:03:41 |  5.62 | 0.80 |
| DDO183            | 13:50:51.1 | +38:01:16 |  2.40 | 0.32 |
| dw1350+5441       | 13:50:58.3 | +54:41:20 |  0.32 | 0.95 |
| HIPASS J1351-47   | 13:51:22.0 | -47:00:00 |  0.56 | 0.60 |
| Dw1351+5014       | 13:51:59.0 | +50:14:53 |  0.50 | 0.82 |
| HIZOA J1353-58    | 13:53:21.9 | -58:03:17 |  -99. | -99. |
| KDG229            | 13:53:41.6 | +60:03:04 |  0.85 | 0.57 |
| FASHI1354+53      | 13:54:06.4 | +53:47:13 |  0.37 | 0.76 |
| KKH86             | 13:54:33.6 | +04:14:35 |  0.85 | 0.71 |
| HolmIV            | 13:54:45.1 | +53:54:17 |  4.07 | 0.30 |
| UGC08833          | 13:54:48.7 | +35:50:15 |  1.17 | 0.89 |
| GBT 1355+5439     | 13:54:50.6 | +54:38:50 |  -99. | -99. |
| dw1355+51         | 13:55:11.0 | +51:54:29 |  0.25 | 0.69 |
| M101Dw9           | 13:55:44.6 | +55:08:45 |  0.26 | 0.78 |
| KK227             | 13:56:10.1 | +40:18:12 |  0.71 | 0.81 |
| dw1357-28         | 13:57:00.0 | -28:55:15 |  0.52 | 0.80 |
| ESO384-016        | 13:57:01.6 | -35:20:02 |  1.32 | 0.69 |
| BootesIII         | 13:57:12.0 | +26:48:00 | 56.00 | 0.65 |
| UGC08882          | 13:57:14.6 | +54:06:03 |  1.07 | 0.73 |
| Dw1358+5255       | 13:58:07.4 | +52:55:05 |  0.72 | 0.92 |
| BootesII          | 13:58:08.0 | +12:50:54 |  6.70 | 0.73 |
| BootesI           | 14:00:05.0 | +14:30:15 | 20.00 | 0.61 |
| NGC5398           | 14:01:22.2 | -33:03:52 |  3.55 | 0.52 |
| dw1401-32         | 14:01:25.0 | -32:37:46 |  0.56 | 0.78 |
| M101Dw10          | 14:01:40.4 | +55:00:57 |  0.15 | 0.84 |
| M101-df3          | 14:03:05.7 | +53:36:56 |  1.00 | 0.74 |
| MESSIER101        | 14:03:12.8 | +54:21:02 | 30.20 | 0.93 |
| dw1403-33         | 14:03:18.0 | -33:24:14 |  0.63 | 0.80 |
| NGC5408           | 14:03:21.5 | -41:22:35 |  2.82 | 0.42 |
| M101-df1          | 14:03:45.0 | +53:56:40 |  0.47 | 0.64 |
| M101dwD           | 14:04:24.6 | +53:16:19 |  0.38 | 0.83 |
| M101-df5          | 14:04:28.1 | +55:37:00 |  1.27 | 0.83 |
| PGC2448110        | 14:04:57.8 | +53:41:29 |  0.23 | 0.94 |
| NGC5474           | 14:05:02.1 | +53:39:47 |  4.79 | 0.90 |
| M101dwC           | 14:05:18.0 | +54:53:56 |  0.30 | 0.78 |
| NGC5477           | 14:05:33.1 | +54:27:39 |  2.04 | 0.76 |
| M101-df7          | 14:05:48.3 | +55:07:58 |  0.67 | 0.72 |
| dw1406-29         | 14:06:41.0 | -29:08:10 |  0.70 | 0.66 |
| M101-dwA          | 14:06:50.2 | +53:44:32 |  0.36 | 0.86 |
| KK230             | 14:07:10.7 | +35:03:37 |  0.76 | 0.83 |
| M101Dw7           | 14:07:21.0 | +55:03:51 |  0.16 | 0.71 |
| M101-df4          | 14:07:33.4 | +54:42:36 |  0.93 | 0.51 |
| M101-df6          | 14:08:19.0 | +55:11:24 |  0.73 | 0.33 |
