| NAME              | RA_HMS     | DEC_DMS   | DIAM  | BA   |
| ESO553-046        | 05:27:05.7 | -20:40:41 |  1.12 | 0.71 |
| Columbia I        | 05:31:25.7 | -27:57:27 |  3.90 | 0.70 |
| KK49              | 05:41:41.5 | +06:40:54 |  1.15 | 0.71 |
| Orion             | 05:45:02.0 | +05:04:06 |  3.09 | 0.48 |
| GALFA Dw4         | 05:45:44.8 | +10:46:16 |  0.53 | 0.54 |
| A0554+07          | 05:57:36.7 | +07:29:31 |  0.72 | 0.40 |
| KKH34             | 05:59:41.2 | +73:25:39 |  0.93 | 0.56 |
| ESO364-029        | 06:05:45.4 | -33:04:54 |  3.55 | 0.71 |
| HIPASS J0607-34   | 06:07:19.7 | -34:12:16 |  1.02 | 0.67 |
| NGC2188           | 06:10:09.5 | -34:06:22 |  4.68 | 0.25 |
| ESO121-020        | 06:15:54.5 | -57:43:35 |  0.93 | 0.71 |
| LV J0616-5745     | 06:16:09.2 | -57:45:55 |  0.40 | 0.80 |
| UGCA127sat        | 06:20:54.8 | -08:39:01 |  0.69 | 0.32 |
| UGCA127           | 06:20:55.7 | -08:29:44 |  5.25 | 0.28 |
| WHI B0619-07      | 06:22:13.8 | -07:50:16 |  1.74 | 0.53 |
| N2146sat          | 06:24:13.2 | +77:57:53 |  0.90 | 0.72 |
| ESO489-056        | 06:26:17.0 | -26:15:56 |  0.72 | 0.50 |
| HIPASS J0630+08   | 06:30:09.2 | +08:21:16 |  -99. | -99. |
| UGC03475          | 06:30:28.8 | +39:30:14 |  2.09 | 0.57 |
| UGC03476          | 06:30:29.2 | +33:18:07 |  1.48 | 0.30 |
| ESO490-017        | 06:37:56.6 | -25:59:59 |  1.70 | 0.76 |
| CGMW1-260         | 06:38:00.1 | -15:01:22 |  3.16 | 0.44 |
| UGC03501          | 06:38:38.4 | +49:15:30 |  1.12 | 0.37 |
| KK55              | 06:39:32.9 | -40:43:13 |  0.71 | 0.64 |
| Carina            | 06:41:36.7 | -50:57:58 | 24.55 | 0.67 |
| IC2171            | 06:44:27.3 | -17:55:57 |  1.91 | 0.21 |
| Pictor II         | 06:44:43.2 | -59:54:00 |  7.00 | 0.87 |
| NGC2283           | 06:45:52.7 | -18:12:37 |  3.63 | 0.76 |
| KKSG9             | 06:46:56.9 | -17:56:29 |  0.50 | 0.70 |
| KKH37             | 06:47:45.8 | +80:07:26 |  1.15 | 0.67 |
| KKH38             | 06:47:54.9 | +47:30:50 |  1.38 | 0.54 |
| UGC03600          | 06:55:40.0 | +39:05:42 |  1.91 | 0.36 |
| HIZSS003B         | 07:00:24.7 | -04:13:18 |  0.33 | 0.75 |
| HIZSS003          | 07:00:29.3 | -04:12:30 |  0.70 | 0.60 |
| FG202             | 07:05:17.1 | -58:31:14 |  1.95 | 0.47 |
| HIPASS J0705-20   | 07:05:45.0 | -20:59:30 |  -99. | -99. |
| ESO558-011        | 07:06:56.8 | -22:02:26 |  1.82 | 0.56 |
