objname_from,pgc_from,objname_to,pgc_to,dtheta_arcsec,comment
ESO 200-IG 004,12422,ESO 200-IG 004 NED03,-99,34.303,GTrpl
UGC 08691,48682,UGC 08691 NED01,-99,17.265,GTrpl
CGCG 233-010,18822,CGCG 233-010 NED02,-99,1.370,GTrpl
VV 638,35722,VV 638 NED03,-99,7.554,GTrpl
I Zw 037,40949,MRK 0211,-99,90.491,GTrpl
CGCG 154-041,31956,CGCG 154-041 NED01,-99,5.351,GTrpl
CGCG 076-068,52947,CGCG 076-068 NED03,-99,0.564,GTrpl
APMUKS(BJ) B034212.98-02470 ID,3080501,WISEA J034443.84-023748.0,-99,4.666,GTrpl
VII Zw 763,61349,VII Zw 763 NOTES01,-99,3.071,GTrpl
ESO 159- G 016,17365,ESO 159- G 016 NED01,-99,3.526,GTrpl
VIII Zw 010,956,VIII Zw 010 NED01,957,2.713,GPair
ESO 294-IG 014,1763,ESO 294-IG 014 NED02,-99,2.520,GPair
ESO 150-IG 012,2114,ESO 150-IG 012 NED01,-99,6.117,GPair
V Zw 032,2491,V Zw 032 NOTES02,-99,7.793,GPair
V Zw 034,2737,V Zw 034 NOTES01,-99,2.851,GPair
V Zw 079,5787,V Zw 079 NOTES01,-99,5.341,GPair
KUG 0133+344,5968,WISEA J013635.53+344433.6,-99,1.008,GPair
ESO 353-IG 030,6089,WISEA J013847.01-325242.8,-99,6.100,GPair
IV Zw 060,6526,IV Zw 060 NOTES01,-99,4.474,GPair
UGC 01258,6612,UGC 01258 NED01,-99,22.414,GPair
CGCG 522-029,6925,CGCG 522-029 NED01,-99,13.184,GPair
VI Zw 115,7311,VI Zw 115 NOTES02,-99,4.140,GPair
V Zw 158,7454,V Zw 158 NOTES01,-99,2.533,GPair
VI Zw 151,7807,WISEA J020300.49+344605.4,-99,2.056,GPair
ESO 415-IG 009,8567,ESO 415-IG 009 NED02,-99,4.351,GPair
UGCA 025,8704,WISEA J021650.53+372112.7,-99,4.451,GPair
ESO 081-IG 009,8985,ESO 081-IG 009 NED01,-99,48.636,GPair
UGC 01951,9439,UGC 01951 NED01,-99,9.686,GPair
V Zw 253,9652,WISEA J023211.71+252115.9,-99,6.961,GPair
NGC 0970,9786,NGC 0970 NED02,9787,7.607,GPair
ESO 198-IG 029,10379,WISEA J024426.35-473236.0,-99,5.790,GPair
ESO 247-IG 011,11018,WISEA J025514.91-454859.3,-99,2.517,GPair
V Zw 303,11324,CGCG 506-002 NED01,-99,4.054,GPair
ESO 116-IG 007,11512,ESO 116-IG 007 NED02,11498,7.427,GPair
ESO 116-IG 007 NED02,11498,ESO 116-IG 007 NED01,-99,22.143,G
KUG 0310-000,11998,KUG 0310-000 NED01,-99,0.281,GPair
V Zw 334,12094,V Zw 334 NOTES01,-99,24.361,GPair
