# Object-level update of coordinates and other galaxy properties based on VI
# (visual inspections). A value of -99 means that property should not be
# updated.
#
objname,ra,dec,diam,pa,ba,comment
WISEA J234723.25-280708.5,356.8468333333333,-28.119055555555555,0.7,125.0,0.84,
WISEA J215425.37-434836.7,-99.,-99.,0.5,-99.,-99.,Larger
WISEA J065728.84-332649.5,-99.,-99.,1.5,-99.,-99.,Larger
WISEA J065730.74-332731.7,-99.,-99.,0.8,-99.,-99.,Larger
ESO 600- G 014,-99.,-99.,1.7,-99.,-99.,Larger
2MASS J21522197-1932486,-99.,-99.,0.8,-99.,-99.,Larger
WISEA J232614.19-240630.4,-99.,-99.,1.0,-99.,-99.,Larger
VPC 0896 NED02,-99.,-99.,0.8,-99.,-99.,Larger
FGC 0584,102.9253,81.7566,-99.0,145.0,-99.0,Better coordinates and PA
WISEA J105044.45+660526.9,162.6828,,66.0914,-99.,-99.,-99.,Better coordinates
WISEA J182241.24+420322.6,275.6714,42.0559,-99.,-99.,-99.,Better coordinates
WISEA J064349.61+331310.0,100.9570,33.2184,-99.,-99.,-99.,Better coordinates
WISEA J181303.13+464058.4,273.264038,46.682413,-99.,-99.,-99.,Better coordinates
WISEA J072629.92+542954.6,111.627198,54.497593,0.795,97.3,0.72,Better coordinates and geometry
WISEA J183328.53+594300.1,278.3676,59.7174,-99.,-99.,-99.,Better coordinates
2MASS J09541953+3741446,148.5821,37.6971,-99.,-99.,-99.,Better coordinates
2MASS J08155449+7107167,123.9768,71.1227,-99.,-99.,-99.,Better coordinates
UGC 03829 NED01,-99.,-99.,1.3,-99.,-99.,Larger
