# Object-level actions based on VI (visual inspections).
objname,action,reason,comment
VII Zw 601 NED02,drop,faint shred or compact,
SDSS J152649.10+351236.1,drop,faint shred or compact,
SDSS J153149.72+400015.5,drop,faint shred or compact,
SDSS J153349.53+422905.7,drop,faint shred or compact,
SDSS J153645.56+535745.3,drop,faint shred or compact,
SDSS J153646.18+535736.8,drop,faint shred or compact,
SDSS J154255.55+541148.9,drop,faint shred or compact,
SDSS J155141.73+360809.6,drop,faint shred or compact,
SDSS J155151.42+490610.1,drop,faint shred or compact,
2MASS J15531204+6045312,drop,faint shred or compact,
SDSS J155424.84+612328.2,drop,faint shred or compact,
SDSS J155446.00+530831.1,drop,faint shred or compact,
SDSS J155459.45+420611.0,drop,faint shred or compact,
SDSS J155500.56+370304.5,drop,faint shred or compact,
SDSS J155550.65+415504.9,drop,faint shred or compact,
SDSS J160704.57+390852.3,drop,faint shred or compact,
2MASS J16093169+5345528,drop,faint shred or compact,
WISEA J160932.07+534557.7,drop,faint shred or compact,
SDSS J161310.55+435602.4,drop,faint shred or compact,
2MASS J16131577+3028298,drop,faint shred or compact,
SDSS J161355.88+485846.6,drop,faint shred or compact,
WISEA J161511.00+590929.9,drop,faint shred or compact,
SDSS J161556.61+502814.0,drop,faint shred or compact,
2MASS J16164507+3442468,drop,faint shred or compact,
SDSS J161816.36+501345.4,drop,faint shred or compact,
SDSS J162018.77+372410.3,drop,faint shred or compact,
SDSS J162111.39+472837.8,drop,faint shred or compact,
SDSS J162155.65+311802.9,drop,faint shred or compact,
SDSS J162226.72+302301.8,drop,faint shred or compact,
SDSS J162553.08+542936.6,drop,faint shred or compact,
SDSS J162644.18+494251.2,drop,faint shred or compact,
SDSS J162814.74+401839.1,drop,faint shred or compact,
SDSS J162849.33+395008.3,drop,faint shred or compact,
SDSS J162859.06+391906.7,drop,faint shred or compact,
WISEA J163001.24+373840.0,drop,faint shred or compact,
SDSS J163238.16+412725.1,drop,faint shred or compact,
SDSS J163806.24+390554.5,drop,faint shred or compact,
SDSS J164002.03+434132.6,drop,faint shred or compact,
SDSS J164001.57+434140.4,drop,faint shred or compact,
SDSS J164103.68+391958.5,drop,faint shred or compact,
2MASS J16440202+5236375,drop,faint shred or compact,
2MASS J16454592+5303404,drop,faint shred or compact,
SDSS J164605.75+424053.9,drop,faint shred or compact,
SDSS J164817.22+435419.4,drop,faint shred or compact,
SDSS J165132.64+395319.4,drop,faint shred or compact,
SDSS J165132.83+410811.9,drop,faint shred or compact,
SDSS J165306.98+364050.8,drop,faint shred or compact,
2MASS J16532331+3557488,drop,faint shred or compact,
WISEA J165555.50+415407.5,drop,faint shred or compact,
2MASS J16555592+4154217,drop,faint shred or compact,
SDSS J165833.97+490658.1,drop,faint shred or compact,
SDSS J170304.27+333229.1,drop,faint shred or compact,
SDSS J170334.35+364905.8,drop,faint shred or compact,
2MASS J17044769+4452257,drop,faint shred or compact,
WISEA J170616.16+783254.7,drop,faint shred or compact,
2MASS J17134652+3607595,drop,faint shred or compact,
VII Zw 742 NED01,drop,faint shred or compact,
2MASS J18291875+3226060,drop,faint shred or compact,
WISE J182918.70+322554.4,drop,faint shred or compact,
WISEA J182918.32+322611.0,drop,faint shred or compact,
SDSS J212434.80+003523.4,drop,faint shred or compact,
SDSS J212556.55+002810.6,drop,faint shred or compact,
SDSS J213251.36-001842.9,drop,faint shred or compact,
SDSS J213252.10-001831.8,drop,faint shred or compact,
SDSS J215342.89+002827.5,drop,faint shred or compact,
2MASS J21534312+0028208,drop,faint shred or compact,
SDSS J215804.03+012114.3,drop,faint shred or compact,
SDSS J222010.93+004901.5,drop,faint shred or compact,
SDSS J225450.58+291331.4,drop,faint shred or compact,
2MASS J23072329+2923117,drop,faint shred or compact,
SDSS J232445.10+010150.5,drop,faint shred or compact,
SDSS J232638.65-003534.0,drop,faint shred or compact,
SDSS J234322.44+023131.9,drop,faint shred or compact,
2MASS J23441322+0048167,drop,faint shred or compact,
WISEA J235628.42-005036.6,drop,faint shred or compact,
SDSS J111433.78+285511.2,drop,faint shred or compact,
SDSS J111654.21+044316.7,drop,faint shred or compact,
SDSS J111706.39+185903.9,drop,faint shred or compact,
SDSS J112146.02+222853.7,drop,faint shred or compact,
WISEA J112223.66+271848.2,drop,faint shred or compact,
SDSS J112249.91+235915.2,drop,faint shred or compact,
SDSS J112251.65+192837.3,drop,faint shred or compact,
SDSS J112341.80+283529.6,drop,faint shred or compact,
LEDA 4677072,drop,faint shred or compact,
SDSS J112947.66+010819.7,drop,faint shred or compact,
SDSS J113230.06+200916.8,drop,faint shred or compact,
SDSS J113345.23+212252.2,drop,faint shred or compact,
SDSS J113904.94+011458.2,drop,faint shred or compact,
GAMA 271701,drop,faint shred or compact,
SDSS J114359.40+002544.9,drop,faint shred or compact,
SDSS J114802.70+151409.5,drop,faint shred or compact,
SDSS J114853.07+010328.6,drop,faint shred or compact,
SDSS J115140.02+224526.3,drop,faint shred or compact,
SDSS J115157.90+204753.8,drop,faint shred or compact,
SDSS J115342.20-013935.5,drop,faint shred or compact,
WISEA J115411.31-010751.5,drop,faint shred or compact,
GAMA 220370,drop,faint shred or compact,
SDSS J120657.21+003953.9,drop,faint shred or compact,
SDSS J120715.45+244441.1,drop,faint shred or compact,
GAMA 585288,drop,faint shred or compact,
SDSS J120857.72+014754.4,drop,faint shred or compact,
WISEA J120920.73+261244.7,drop,faint shred or compact,
VCCA 045,drop,faint shred or compact,
GAMA 023859,drop,faint shred or compact,
VCCA 052,drop,faint shred or compact,
GAMA 138665,drop,faint shred or compact,
SDSS J121516.44+122512.0,drop,faint shred or compact,
SDSS J121518.47-003319.4,drop,faint shred or compact,
SDSS J121637.31+172927.1,drop,faint shred or compact,
GAMA 231651,drop,faint shred or compact,
GAMA 611646,drop,faint shred or compact,
SDSS J122143.55+001949.6,drop,faint shred or compact,
SDSS J122319.44+010353.4,drop,faint shred or compact,
SDSS J122350.54+084400.0,drop,faint shred or compact,
SDSS J122530.43+090418.8,drop,faint shred or compact,
IRAS F12234-2319,drop,faint shred or compact,
SDSS J122910.73+202156.1,drop,faint shred or compact,
SDSS J123011.19+055622.1,drop,faint shred or compact,
SDSS J123143.52-020308.3,drop,faint shred or compact,
2MASS J12343236+0600127,drop,faint shred or compact,
SDSS J124127.84+192316.7,drop,faint shred or compact,
2MASS J12442610+2711307,drop,faint shred or compact,
SDSS J124612.05+031032.7,drop,faint shred or compact,
LEDA 4677558,drop,faint shred or compact,
2MASS J12503048+0908477,drop,faint shred or compact,
2MASS J12522700-1556165,drop,faint shred or compact,
PGC 043680,drop,faint shred or compact,
SDSS J125237.81+024652.0,drop,faint shred or compact,
SDSS J125425.72+185554.0,drop,faint shred or compact,
SDSS J125448.54+303238.0,drop,faint shred or compact,
2MASS J12574723-1719457,drop,faint shred or compact,
2MASS J12584711-0412327,drop,faint shred or compact,
2MASS J13000158-3349224,drop,faint shred or compact,
2MASS J13004400-2532157,drop,faint shred or compact,
WISEA J130047.22+275525.7,drop,faint shred or compact,
SDSS J130159.94+274702.7,drop,faint shred or compact,
ABELL 1664_13:[PSE2006] 0437,drop,faint shred or compact,
SDSS J130426.67+271821.0,drop,faint shred or compact,
[BZZ2000] J130508.80-282345.1,drop,faint shred or compact,
SDSS J130620.43+014710.9,drop,faint shred or compact,
SDSS J130645.29+023036.5,drop,faint shred or compact,
SDSS J131055.00+220708.5,drop,faint shred or compact,
SDSS J131141.01+262331.7,drop,faint shred or compact,
SDSS J131446.60+013359.5,drop,faint shred or compact,
SDSS J131754.61+310020.6,drop,faint shred or compact,
