# Objects to drop in the parent-building step based on VI.
#
# NB: If "region" is blank, then drop from all/both regions.
#
# NB: The comment "very poor initial positions" means the source is
# real but it just needs more work.
#
objname,region,comment
SMDG J1109408+294002,dr9-north,no Tractor source
DESI J167.4599+80.9658,dr9-north,no Tractor source
SMDG J1109524+305815,dr9-north,no Tractor source
SDSS J111010.10+291449.2,dr9-north,no Tractor source
MAPS-NGP O_319_0478547,dr9-north,no Tractor source
2MASS J11104297+4805125,dr9-north,no Tractor source
MAPS-NGP O_319_0287663,dr9-north,no Tractor source
SDSS J111241.94+580820.2,dr9-north,no Tractor source
PGC 2363750,dr9-north,no Tractor source
SDSSCGB 13783.02,dr9-north,no Tractor source
SDSS J111652.14+330051.6,dr9-north,no Tractor source
SDSS J111727.51+373244.0,dr9-north,no Tractor source
SDSS J111751.60+432010.8,dr9-north,no Tractor source
SDSS J111858.13+610426.6,dr9-north,no Tractor source
SDSS J111956.56+313948.7,dr9-north,no Tractor source
SDSS J112034.52+294049.3,dr9-north,no Tractor source
2MASX J11211430+3420368,dr9-north,no Tractor source
WISEA J112259.90+293929.1,dr9-north,no Tractor source
WISEA J112324.42+354011.4,dr9-north,no Tractor source
DESI J170.9637+73.4595,dr9-north,no Tractor source
MAPS-NGP O_216_0923092,dr9-north,no Tractor source
SDSS J112834.64+392958.2,dr9-north,no Tractor source
SDSS J112931.17+475056.0,dr9-north,no Tractor source
PGC 2236931,dr9-north,no Tractor source
PGC2617222,dr9-north,no Tractor source
2MASX J11362090+5513077,dr9-north,no Tractor source
SMDG J1139474+313858,dr9-north,no Tractor source
PGC 2071472,dr9-north,no Tractor source
PGC 2233712,dr9-north,no Tractor source
PGC 2602674,dr9-north,no Tractor source
SMDG J1146296+295304,dr9-north,no Tractor source
WISEA J114849.36+371910.8,dr9-north,no Tractor source
PGC 2229471,dr9-north,no Tractor source
SDSS J115239.02+665020.1,dr9-north,no Tractor source
SDSS J115318.71+573142.9,dr9-north,no Tractor source
SDSS J115325.66+355655.5,dr9-north,no Tractor source
DESI J178.8740+30.0841,dr9-north,no Tractor source
2MASS J11560563+2929208,dr9-north,no Tractor source
WISEA J115751.64+300028.2,dr9-north,no Tractor source
SDSS J115813.84+445511.7,dr9-north,no Tractor source
