# Object-level actions based on VI (visual inspections). Note that an object may
# appear more than once.
objname,action,reason,comment
SDSS J130117.07+480338.7,drop,shred,Shred of 'MRK 0237b' in 'MRK 0237' group.
SDSS J130727.94+264323.3,drop,shred,Shred of 'ARP 139 NED02' in 'ARP 139' group.
2MASS J13072652+2643166,drop,shred,Shred of 'ARP 139 NED02' in 'ARP 139' group.
SDSS J130118.73+650027.2,drop,shred,Shred of 'VV 605 NED01' in 'VV 605' group.
SDSS J125852.56+130845.9,drop,shred,Shred of 'CGCG 071-090 NED02' in 'CGCG 071-090' group.
WISEA J123044.89+122159.6,drop,shred,Shred of 'UGC 07652 NED02' in 'UGC 07652' group.
SDSS J114742.46+573849.0,drop,shred,Shred of 'UGC 06767 NED02' in 'UGC 06767' group.
SDSS J114740.44+573836.3,drop,shred,Shred of 'UGC 06767 NED02' in 'UGC 06767' group.
2MASS J11473963+5738360,drop,shred,Shred of 'UGC 06767 NED02' in 'UGC 06767' group.
SDSS J114517.65+200115.5,drop,shred,Shred of 'CGCG 097-133E' in 'CGCG 097-133' group.
UGC 06578 NED01,drop,shred,Shred of 'UGC 06578 NED02' in 'UGC 06578' group.
WISEA J222517.09-005432.9,drop,shred,Shred of '2MFGC 16892' in '2MFGC 16892' group.
2MASS J22251651-0054368,drop,shred,Shred of '2MFGC 16892' in '2MFGC 16892' group.
SDSS J124846.31+264451.3,drop,shred,Shred of 'WISEA J124846.85+264455.7' in 'KUG 1246+270' group.
6dF J0028517-233624,drop,shred,Shred of 'WISEA J002851.84-233622.6' in 'APMBGC 473-054-065' group.
WISEA J131047.91-012244.0,drop,shred,Shred of 'VIII Zw 253 NED01' in 'VIII Zw 253' group.
6dF J0321552-133901,drop,shred,Shred of 'VV 491 NED01' in 'MCG -02-09-035' group.
VV 491 NED04,drop,shred,Train wreck; in 'MCG -02-09-035' group.
PGC 333592,drop,shred,Shred of 'ESO 110-IG 025 NED01' in 'ESO 110-IG 025' group.
PGC 333589,drop,shred,Shred of 'ESO 110-IG 025 NED01' in 'ESO 110-IG 025' group.
SDSS J111634.35+284610.3,drop,shred,Shred of 'KUG 1113+290B' in 'CGCG 156-045' group.
IRAS F22491-1808W,drop,shred,Shred of 'WISEA J225149.29-175223.8' in 'IRAS 22491-1808' group.
SDSS J124156.72+265809.8,drop,shred,Shred of '2MASX J12415633+2658185' in 'KUG 1239+272' group.
SDSS J091153.38+372410.7,drop,shred,Shred of 'SDSS J091153.60+372413.3' in 'B2 0908+37' group.
2MASS J01114427-1532535,drop,shred,Shred of '2MASX J01114424-1532543' in 'GALEXASC J011144.18-153256.6' group.
SDSS J082829.07+243831.6,drop,shred,Shred of 'KUG 0825+248 NED01' in 'KUG 0825+248' group.
SDSS J113219.54+365626.6,drop,shred,Shred of 'KUG 1129+372 NED01' in 'KUG 1129+372' group.
SDSS J093158.17+323452.1,drop,shred,Shred of 'KUG 0928+328 NED01' in 'KUG 0928+328' group.
SDSS J152536.07+282624.9,drop,shred,Shred of 'WISEA J152535.91+282619.6' in 'CB-20.07763' group.
LEDA 098508,drop,shred,Shred of 'WISEA J132834.84-312624.8' in 'FLASH J132834.24-312622.6' group.
NGPFG 02543,drop,shred,Shred of three smaller sources; galaxy triple.
LEDA 4676901,drop,shred,Shred of 'SDSSCGB 11546.02'.
SDSS J033733.27+000837.4,drop,shred,
SDSS J114840.08-001557.3,drop,shred,Shred of 'WISEA J114839.98-001557.1'
SDSSCGB 00689.04,drop,shred,Shred of interacting pair in 'I Zw 076' group.
2MASS J20005966-4704075,drop,shred,Shred of 'NGC 6845A'.
PGC 506999,drop,shred,Shred of 'NGC 6845A'.
WISEA J235421.74+410922.7,drop,shred,Shred of 'V Zw 438 NOTES03'.
V Zw 438 NOTES02,drop,shred,Shred of 'V Zw 438 NOTES03'.
VV 237d,drop,shred,Shred of 'WISEA J111115.12+284307.3'.
SDSS J111112.72+284246.9,drop,shred,Shred of 'NGC 3561A'.
VV 237e,drop,shred,Shred of 'NGC 3561A'.
WISEA J114302.41+261625.4,drop,shred,Shred of 'UGC 06678 NOTES01'.
SDSS J114301.03+261524.1,drop,shred,Shred of 'UGC 06678'.
LEDA 4677121,drop,shred,Shred of 'NGC 2936'.
2MASS J09374492+0245342,drop,shred,Shred of 'NGC 2936'.
SDSS J112834.61+583423.0,drop,shred,Shred of 'NGC 3690'.
2MASS J11282669+5834142,drop,shred,Shred of 'NGC 3690'.
NYU-VAGC 0364548,drop,shred,Shred of 'NGC 3690'.
NYU-VAGC 0100031,drop,shred,Shred of 'WISEA J021405.04+131902.2'.
NYU-VAGC 0202550,drop,shred,Shred of 'WISEA J121354.85+024753.2'.
WISEA J183236.84-392725.9,drop,shred,Shred of 'ESO 336- G 001'.
SDSS J105153.19+510015.6,drop,shred,Shred of 'NGC 3410' in 'V1CG 559' group.
2dFGRS N271Z004,drop,shred,Shred of 'WISEA J140211.98-012156.3' in 'KTG 52' group.
SDSS J122105.97+395338.0,drop,shred,Shred of 'KUG 1218+401B' in 'KTG 43' group.
[BFW2006] J261.33336+58.81476,drop,shred,Shred of 'NGC 6376' in 'UGC 10855' group.
NGC 6376 NED01,drop,shred,Shred of 'NGC 6376' in 'UGC 10855' group.
VII Zw 043 NOTES01,drop,shred,Shred of 'VII Zw 043 NOTES02' in 'VII Zw 043' group.
2MASS J14460195+0829452,drop,shred,Shred of 'UGC 095092' in 'VV 109' group.
SDSS J144604.46+082933.9,drop,shred,Shred of 'UGC 095092' in 'VV 109' group.
UGC 09509 NOTES02,drop,shred,Shred of 'UGC 095092' in 'VV 109' group.
SDSS J113755.22+215838.5,drop,shred,Shred of 'NGC 3753' in 'VV 282' group.
UGC 03972 NOTES01,drop,shred,Shred of 'UGC 03972' in 'VV 349' group.
WISEA J105435.60+565926.3,drop,shred,Shred of 'NGC 3445'.
SDSSCGB 51774.02,drop,shred,Shred of 'NGC 3445' in 'ARP 024' group.
SDSSCGB 51774.03,drop,shred,Shred of 'NGC 3445' in 'ARP 024' group.
#
WISEA J042438.35-073908.8,drop,anti-shred,Many smaller galaxies in the 'APMUKS(BJ) B042212.72-07455 ID' group.
#
UGC 08691 NED02,drop,star,Foreground star in 'UGC 08691 NED01'.
UGC 08691 NED03,drop,star,Foreground star in 'UGC 08691 NED01'.
2MASX J06413528+5015514,drop,star,Foreground star in 'CGCG 233-026 NED01'.
[KE91] 105400.5+841412,drop,star,Foreground star in 'IRAS 10539+8414'?
VV 757 NED05,drop,star,Foreground star in 'VV 757' group.
GALEXASC J021209.52-023255.4,drop,star,Foreground star?
VII Zw 910 NOTES03,drop,star,Foreground star in 'VII Zw 910' group.
#
ABELL 1205:[QR95] 3,drop,no source,In 'VV 145' group.
ESO 292-IG 010 NED02,drop,no source,In 'ESO 292-IG 010' group.
