OBJNAME,REGION
WISEA J122300.45-425303.9,
WISEA J010847.99-152402.5,
WISEA J052426.29-270047.3,
2MASS J14593076+2810588,
WISEA J035820.08-053206.6,
II Zw 184 NOTES01,
II Zw 184 NOTES03,
WISEA J201901.14-574329.9,
WISEA J162828.37+152422.7,
APMBGC 355+049-021,
WISEA J145330.04+142111.7,
WISEA J153356.32+064942.2,
MCG +10-21-006,
WISEA J143126.23+575735.4,
WISEA J143121.69+575715.3,
2MASS J14312139+5757521,
WISEA J075859.59+151636.0,
WISEA J163351.68+205321.4,
WISEA J141801.19+001612.7,
WISEA J141801.72+001551.6,
2MASS J23243222+1416295,
2MASS J23241235+1421134,
WISEA J232415.46+141949.4,
2MASS J14572287+2724564,
WISEA J151020.32+332924.6,
WISEA J151014.90+332941.5,
WISEA J151011.41+332953.9,
WISEA J151010.77+332923.4,
WISEA J151013.15+332949.4,
2MFGC 12274,
UGC 00774 NOTES01,
IC 5349 NED02,
2MASS J09565830+0346367,
2MASS J13355234-2600390,
2MASS J12434522-0021161,
2MASS J13434621+1801311,
WISEA J082042.23+383012.8,
DESI J054.8841-03.0160,
UGC 09480 NOTES04,
WISEA J144229.85+222015.1,
WISEA J144229.84+222022.7,
2MASS J10395308+1112199,
WISEA J133434.96+343709.0,
WISEA J163733.92+114347.5,
2MASS J16203002+1416314,
CGCG 159-053 NED02,
WISEA J110822.64+320028.7,
WISEA J150135.02+220815.0,
WISEA J001752.42-655756.6,
WISEA J001732.72+004428.6,
APMBGC 360-123-075,
2MASS J01240886+1402053,
WISEA J162813.74+415920.5,
DESI J315.7885+12.9656,
SDSS J110202.92+102010.4,
WISEA J110152.94+101500.5,
TOLOLO 1059+105,
ESO 269-IG 022 NED02,
WISEA J113537.12+551111.4
WISEA J113540.87+551048.9,
WISEA J113540.02+551057.9,
WISEA J135904.45+330845.3,
WISEA J135903.03+330837.3,
WISEA J135903.95+330817.7,
WISEA J153219.43+050318.9,
WISEA J153220.90+050331.1,
KUG 0858+436,
2MASX J13421233+1843097,
2MASS J10202004+1855086,
WISEA J102016.55+185439.6,
WISEA J095648.22+221252.7,
WISEA J014721.20+025014.6,
2MASS J09585561+0946527,
2MASX J16054297+2712210,
WISEA J015049.45+040257.3,
PGC 130529,
UGC 11672 NED01,
